,150,220,221,225,226,227,228,229,231,250,251,254,270,271,272,273,274
0.0,3.0,1.56,0.43,0.001,0.598,0.306,0.254,0.0,0.001,0.308,0.02,0.0,0.47200000000000003,0.356,0.002,0.14,0.134
1.0,0.0,1.7919999999999998,0.33,1.264,1.252,0.005,0.336,0.0,0.002,0.47,8.42,0.0,24.0,0.372,0.001,0.746,21.0
2.0,1.0,5.1,0.564,0.001,4.588,0.39399999999999996,0.91,0.0,0.001,0.0,0.81,0.0,0.142,0.798,0.516,0.46,0.322
3.0,1.0,1.208,0.015,0.778,0.33799999999999997,0.3,0.0,0.11599999999999999,0.332,0.41600000000000004,0.506,0.0,1.0,0.6839999999999999,0.001,1.226,1.3330000000000002
4.0,0.0,0.004,0.414,0.0,0.684,0.44,0.055999999999999994,0.0,1.0,0.0,0.004,0.0,0.23199999999999998,0.23,314.0,0.10400000000000001,0.28
5.0,1.0,2.306,0.46799999999999997,4.338,0.0,0.23800000000000002,0.08199999999999999,0.0,0.002,0.0,2.105,0.0,0.628,0.4,0.002,0.9039999999999999,0.46
6.0,1.0,2.8,0.214,0.668,0.46799999999999997,0.316,0.092,0.16399999999999998,0.001,2.0,0.024,0.0,0.162,0.434,8.0,1.7120000000000002,0.001
7.0,1.0,5.734,0.696,1.328,1.006,0.19,0.184,0.0,0.002,1.508,2.083,0.0,0.086,0.326,0.006,0.204,0.002
8.0,2.0,0.001,0.39399999999999996,1.446,1.172,0.488,0.064,0.0,0.252,0.204,0.004,0.0,0.062,0.28,0.001,0.8759999999999999,2.0
9.0,1.0,2.474,0.38799999999999996,1.4780000000000002,4.684,0.718,0.462,0.094,0.602,0.0,0.003,0.0,2.25,0.784,206.0,1.25,26.0
10.0,1.0,4.91,0.494,0.406,0.804,1.02,0.066,0.0,0.254,0.24,0.43800000000000006,0.504,0.348,0.29,0.012,0.342,0.596
11.0,1.0,2.38,0.27,0.336,0.7140000000000001,0.168,0.36,0.0,0.002,0.24,3.0,0.0,0.7340000000000001,0.26,0.002,0.648,1.0
12.0,1.0,1.004,0.055999999999999994,0.9420000000000001,1.044,0.406,0.364,0.055999999999999994,0.5980000000000001,0.0,1.5,0.0,0.10400000000000001,0.586,294.0,0.248,2.0
13.0,1.0,1.34,0.20800000000000002,2.224,0.49,0.424,0.06,0.094,1.65,1.508,1.046,0.0,0.226,0.66,0.001,0.672,1.0
14.0,1.0,3.988,0.968,0.13,0.386,1.1420000000000001,1.302,0.054000000000000006,0.002,0.0,0.29600000000000004,0.0,0.28,0.204,0.012,0.28600000000000003,0.6519999999999999
15.0,2.0,1.06,0.25,392.0,0.6659999999999999,0.35200000000000004,0.092,0.1,0.272,0.28800000000000003,1.5,0.0,0.24600000000000002,0.528,848.0,0.138,1.0
16.0,1.0,0.426,0.6659999999999999,2.14,0.862,0.386,0.5640000000000001,0.08,0.46399999999999997,0.34,2.0,0.0,3.25,0.188,1038.0,0.522,0.018000000000000002
17.0,1.0,12.184000000000001,0.424,1.03,0.278,0.0,0.82,0.0,0.344,0.348,2.0,0.0,0.598,0.644,0.001,1.0659999999999998,0.27
18.0,1.0,1.404,0.212,1.9,0.9279999999999999,0.794,0.9620000000000001,0.0,1.0,0.0,2.0,0.0,0.106,0.214,0.002,0.48,2.6660000000000004
19.0,1.0,1.078,0.402,0.318,2.752,0.854,0.11199999999999999,0.0,0.184,0.0,1.046,0.0,1.25,0.002,1.574,0.156,0.003
20.0,1.0,2.3280000000000003,0.542,1.9480000000000002,1.0,0.0,0.08800000000000001,0.068,0.001,0.298,0.004,0.514,0.22399999999999998,0.45,0.001,5.0,0.006
21.0,1.0,3.264,0.182,1.4580000000000002,1.8119999999999998,1.014,0.07,0.0,0.001,1.508,0.2,0.608,0.001,0.94,0.787,0.36,0.001
22.0,0.0,1.8940000000000001,0.07,0.588,0.324,0.28800000000000003,0.388,0.0,0.001,0.0,36.0,0.518,0.294,0.37,0.001,0.58,19.0
23.0,1.0,0.722,0.188,1.408,1.986,1.274,1.25,0.0,0.466,0.0,0.015,0.536,0.10400000000000001,0.514,0.001,0.136,0.012
24.0,1.0,0.9,0.316,0.001,2.8680000000000003,0.41200000000000003,0.17,0.0,0.4,0.0,4.0,0.0,0.7120000000000001,1.1420000000000001,0.001,0.196,0.241
25.0,1.0,0.862,0.001,0.122,0.47,1.64,0.182,0.32399999999999995,1.0,0.406,0.502,0.0,0.292,0.42,500.0,0.38,2.0
